x1,x2,x3,v1,v2,v3,t
0.0,0.0,0.0,0.0,-0.1,0.1,0
0.0,-0.1,0.1,-0.02,-0.060000000000000005,0.08,1
-0.02,-0.16,0.18,-0.03,-0.020000000000000004,0.05,2
-0.05,-0.18,0.22999999999999998,-0.025,0.009999999999999998,0.015000000000000003,3
-0.07500000000000001,-0.16999999999999998,0.245,-0.0075000000000000015,0.0125,-0.004999999999999999,4
-0.08250000000000002,-0.15749999999999997,0.24,0.0024999999999999996,0.0037500000000000007,-0.00625,5
-0.08000000000000002,-0.15374999999999997,0.23374999999999999,0.003125,-0.0012499999999999998,-0.0018750000000000004,6
-0.07687500000000001,-0.15499999999999997,0.231875,0.0009375000000000002,-0.0015625,0.0006249999999999999,7
-0.07593750000000002,-0.15656249999999997,0.23249999999999998,-0.00031249999999999995,-0.0004687500000000001,0.00078125,8
-0.07625000000000001,-0.15703124999999996,0.23328125,-0.000390625,0.00015624999999999998,0.00023437500000000005,9
-0.07664062500000002,-0.15687499999999996,0.233515625,-0.00011718750000000002,0.0001953125,-7.812499999999999e-5,10
-0.07675781250000002,-0.15667968749999997,0.2334375,3.9062499999999994e-5,5.859375000000001e-5,-9.765625e-5,11
-0.07671875000000002,-0.15662109374999997,0.23333984375,4.8828125e-5,-1.9531249999999997e-5,-2.9296875000000006e-5,12
-0.07666992187500002,-0.15664062499999998,0.233310546875,1.4648437500000003e-5,-2.44140625e-5,9.765624999999999e-6,13
-0.07665527343750002,-0.15666503906249998,0.2333203125,-4.882812499999999e-6,-7.324218750000001e-6,1.220703125e-5,14
-0.07666015625000001,-0.15667236328124998,0.23333251953124998,-6.103515625e-6,2.4414062499999996e-6,3.6621093750000007e-6,15
-0.07666625976562501,-0.15666992187499998,0.23333618164062497,-1.8310546875000004e-6,3.0517578125e-6,-1.2207031249999998e-6,16
-0.0766680908203125,-0.15666687011718747,0.23333496093749997,6.103515624999999e-7,9.155273437500002e-7,-1.52587890625e-6,17
-0.07666748046875001,-0.15666595458984373,0.23333343505859372,7.62939453125e-7,-3.0517578124999995e-7,-4.577636718750001e-7,18
-0.07666671752929688,-0.15666625976562498,0.23333297729492183,2.2888183593750004e-7,-3.814697265625e-7,1.5258789062499998e-7,19
-0.07666648864746094,-0.15666664123535154,0.23333312988281246,-7.629394531249999e-8,-1.1444091796875002e-7,1.9073486328125e-7,20
-0.07666656494140625,-0.1566667556762695,0.23333332061767575,-9.5367431640625e-8,3.8146972656249994e-8,5.722045898437501e-8,21
-0.0766666603088379,-0.15666671752929684,0.23333337783813474,-2.8610229492187506e-8,4.76837158203125e-8,-1.9073486328124997e-8,22
-0.07666668891906739,-0.15666666984558103,0.23333335876464842,9.536743164062499e-9,1.4305114746093753e-8,-2.384185791015625e-8,23
-0.07666667938232423,-0.15666665554046627,0.23333333492279051,1.1920928955078126e-8,-4.768371582031249e-9,-7.152557373046876e-9,24
-0.07666666746139528,-0.15666666030883786,0.23333332777023313,3.576278686523438e-9,-5.960464477539063e-9,2.3841857910156246e-9,25
-0.07666666388511659,-0.15666666626930234,0.23333333015441893,-1.1920928955078123e-9,-1.788139343261719e-9,2.9802322387695314e-9,26
-0.07666666507720948,-0.15666666805744167,0.23333333313465116,-1.4901161193847657e-9,5.960464477539062e-10,8.940696716308595e-10,27
-0.0766666665673256,-0.15666666746139524,0.23333333402872083,-4.470348358154298e-10,7.450580596923829e-10,-2.980232238769531e-10,28
-0.07666666701436044,-0.15666666671633717,0.23333333373069762,1.4901161193847654e-10,2.235174179077149e-10,-3.7252902984619143e-10,29
-0.07666666686534883,-0.15666666649281974,0.23333333335816858,1.8626451492309571e-10,-7.450580596923827e-11,-1.1175870895385744e-10,30
