x1,x2,x3,x4,x5,x6,v1,v2,v3,v4,v5,v6,t
0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,0.1,0.1,0.1,0
-0.1,-0.1,-0.1,0.1,0.1,0.1,-0.1,-0.1,-0.060000000000000005,0.1,0.1,0.060000000000000005,1
-0.2,-0.2,-0.16,0.2,0.2,0.16,-0.1,-0.1,-0.020000000000000004,0.1,0.1,0.020000000000000004,2
-0.30000000000000004,-0.30000000000000004,-0.18,0.30000000000000004,0.30000000000000004,0.18,-0.1,-0.09000000000000001,0.009999999999999998,0.1,0.09000000000000001,-0.009999999999999998,3
-0.4,-0.39000000000000007,-0.16999999999999998,0.4,0.39000000000000007,0.16999999999999998,-0.1,-0.065,0.025,0.1,0.065,-0.025,4
-0.5,-0.45500000000000007,-0.145,0.5,0.45500000000000007,0.145,-0.1,-0.0325,0.0325,0.1,0.0325,-0.0325,5
-0.6,-0.48750000000000004,-0.11249999999999999,0.6,0.48750000000000004,0.11249999999999999,-0.1,0.00375,0.036250000000000004,0.09625,0.0,-0.036250000000000004,6
-0.7,-0.48375000000000007,-0.07624999999999998,0.69625,0.48750000000000004,0.07624999999999998,-0.1,0.041875,0.038125000000000006,0.07625,-0.018125000000000002,-0.038125000000000006,7
-0.7999999999999999,-0.4418750000000001,-0.03812499999999998,0.7725000000000001,0.46937500000000004,0.03812499999999998,-0.1,0.08093750000000001,0.0390625,0.04718749999999999,-0.028125000000000004,-0.0390625,8
-0.8999999999999999,-0.3609375000000001,0.0009375000000000216,0.8196875000000001,0.44125000000000003,-0.0009375000000000216,-0.1,0.12046875000000001,0.039531250000000004,0.013124999999999987,-0.033593750000000006,-0.039531250000000004,9
-0.9999999999999999,-0.24046875000000006,0.040468750000000026,0.8328125000000001,0.40765625000000005,-0.040468750000000026,-0.1,0.160234375,0.026328124999999994,-0.010234375000000009,-0.036562500000000005,-0.039765625,10
-1.0999999999999999,-0.08023437500000005,0.06679687500000002,0.822578125,0.37109375000000006,-0.08023437500000002,-0.1,0.1933984375,0.008046874999999992,-0.023398437500000008,-0.0381640625,-0.0398828125,11
-1.2,0.11316406249999994,0.07484375000000001,0.7991796875,0.33292968750000007,-0.12011718750000003,-0.060000000000000005,0.177421875,-0.007675781250000008,-0.030781250000000003,-0.0390234375,-0.039941406250000006,12
-1.26,0.29058593749999995,0.06716796875,0.7683984375,0.2939062500000001,-0.16005859375000003,-0.020000000000000004,0.153583984375,-0.019228515625000005,-0.03490234375,-0.03948242187500001,-0.03997070312500001,13
-1.28,0.44416992187499993,0.047939453124999996,0.73349609375,0.2544238281250001,-0.20002929687500004,0.019999999999999997,0.12396972656250001,-0.027065429687500003,-0.03719238281250001,-0.03972656250000001,-0.03998535156250001,14
-1.26,0.5681396484375,0.020874023437499993,0.6963037109375,0.21469726562500008,-0.24001464843750003,0.06,0.09043701171875,-0.032128906250000006,-0.03845947265625001,-0.03986328125000001,-0.03998535156250001,15
-1.2,0.6585766601562499,-0.011254882812500012,0.6578442382812499,0.17483398437500008,-0.28,0.1,0.054372558593749995,-0.035294189453125006,-0.03916137695312501,-0.039931640625,-0.03998535156250001,16
-1.0999999999999999,0.71294921875,-0.04654907226562502,0.6186828613281249,0.1349023437500001,-0.3199853515625,0.14,0.016725463867187488,-0.037227783203125,-0.039546508789062504,-0.0399658203125,-0.03998535156250001,17
-0.9599999999999999,0.7296746826171875,-0.08377685546875002,0.5791363525390624,0.0949365234375001,-0.359970703125,0.16836273193359375,-0.010251159667968758,-0.038387145996093754,-0.03975616455078125,-0.039982910156249996,-0.03998535156250001,18
-0.7916372680664061,0.7194235229492187,-0.12216400146484377,0.5393801879882811,0.054953613281250105,-0.3999560546875,0.18323715209960936,-0.024319152832031257,-0.039071655273437506,-0.03986953735351562,-0.039991455078125,-0.03998535156250001,19
-0.6084001159667968,0.6951043701171875,-0.16123565673828127,0.4995106506347655,0.014962158203125103,-0.43994140625,0.19107757568359374,-0.03169540405273438,-0.03947059631347656,-0.039930496215820316,-0.0399957275390625,-0.03998535156250001,20
-0.41732254028320304,0.6634089660644531,-0.20070625305175782,0.4595801544189452,-0.025033569335937395,-0.4799267578125,0.19522987365722652,-0.03558300018310547,-0.03970054626464844,-0.03996311187744141,-0.03999786376953125,-0.03998535156250001,21
-0.22209266662597651,0.6278259658813476,-0.24040679931640627,0.4196170425415038,-0.06503143310546865,-0.519912109375,0.19743837356567379,-0.037791500091552736,-0.03968210220336914,-0.03998048782348633,-0.03999893188476562,-0.03998535156250001,22
-0.02465429306030273,0.5900344657897949,-0.2800889015197754,0.37963655471801744,-0.10503036499023427,-0.5598974609375,0.1985426235198974,-0.03889575004577637,-0.039672346115112306,-0.03998970985412598,-0.03999946594238281,-0.03998535156250001,23
0.17388833045959468,0.5511387157440185,-0.31976124763488767,0.33964684486389146,-0.14502983093261707,-0.5998828125000001,0.15909474849700922,-0.039447875022888185,-0.03966720104217529,-0.03999458789825439,-0.0399997329711914,1.4648437499993616e-5,24
0.3329830789566039,0.5116908407211304,-0.359428448677063,0.2996522569656371,-0.18502956390380848,-0.5998681640625001,0.11937081098556514,-0.039723937511444096,-0.03966449499130248,-0.0399971604347229,-0.0399998664855957,0.040014648437499994,25
0.452353889942169,0.47196690320968626,-0.39909294366836545,0.2596550965309142,-0.22502943038940418,-0.5598535156250001,0.07950884222984309,-0.03986196875572205,-0.039663075208663925,-0.0399985134601593,-0.03999993324279785,0.0800146484375,26
