x1,x2,x3,x4,v1,v2,v3,v4,t
0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.1,0
-0.1,-0.08,0.1,0.08,-0.1,-0.060000000000000005,0.1,0.060000000000000005,1
-0.2,-0.12000000000000001,0.2,0.12000000000000001,-0.1,-0.020000000000000004,0.1,0.020000000000000004,2
-0.30000000000000004,-0.12000000000000001,0.30000000000000004,0.12000000000000001,-0.1,0.019999999999999997,0.1,-0.019999999999999997,3
-0.391,-0.08900000000000001,0.391,0.08900000000000001,-0.082,0.041999999999999996,0.082,-0.041999999999999996,4
-0.45695,-0.04305,0.45695,0.04305,-0.0499,0.0499,0.0499,-0.0499,5
-0.48685,0.006850000000000002,0.48685,-0.006850000000000002,-0.009899999999999999,0.0499,0.009899999999999999,-0.0499,6
-0.47675,0.05675,0.47675,-0.05675,0.030100000000000002,0.0499,-0.030100000000000002,-0.0499,7
-0.42665,0.10665,0.42665,-0.10665,0.0701,0.0499,-0.0701,-0.0499,8
-0.34274249999999995,0.15035749999999998,0.34274249999999995,-0.15035749999999998,0.09771500000000001,0.03751500000000001,-0.09771500000000001,-0.03751500000000001,9
-0.2423191249999999,0.17058087499999997,0.2423191249999999,-0.17058087499999997,0.10313175000000001,0.0029317500000000003,-0.10313175000000001,-0.0029317500000000003,10
-0.1399253937499999,0.15425064374999997,0.1399253937499999,-0.15425064374999997,0.10165571250000001,-0.0355922125,-0.10165571250000001,0.0355922125,11
-0.04945520218749989,0.10984395218749997,0.04945520218749989,-0.10984395218749997,0.07928467062500001,-0.053221170624999994,-0.07928467062500001,0.053221170624999994,12
0.012016373390625128,0.05443587660937497,-0.012016373390625128,-0.05443587660937497,0.04365848053125,-0.05759498053124999,-0.04365848053125,0.05759498053124999,13
0.035674853921875124,-0.003159103921875024,-0.035674853921875124,0.003159103921875024,0.003658480531250001,-0.05759498053124999,-0.003658480531250001,0.05759498053124999,14
0.026634971624218864,-0.05345244728203127,-0.026634971624218864,0.05345244728203127,-0.021738245126562514,-0.042991706189062506,0.021738245126562514,0.042991706189062506,15
