y1,y2,y3,y4,y5,t
0.0,-0.1,-0.1,0.1,0.1,0
-0.02,-0.1,-0.060000000000000005,0.1,0.08,1
-0.03,-0.1,-0.020000000000000004,0.1,0.05,2
-0.035,-0.09000000000000001,0.009999999999999998,0.1,0.015000000000000003,3
-0.037500000000000006,-0.065,0.025,0.08750000000000001,-0.01,4
-0.03875000000000001,-0.0325,0.0325,0.0625,-0.023750000000000004,5
-0.035625000000000004,0.0,0.036250000000000004,0.030624999999999996,-0.03125000000000001,6
-0.017812500000000002,0.018125000000000002,0.0334375,-0.0003125000000000055,-0.03343750000000001,7
0.00015625000000000014,0.025781250000000002,0.016562499999999997,-0.016875000000000008,-0.025625000000000005,8
0.012968750000000001,0.021171875,-0.00015625000000000534,-0.021250000000000005,-0.012734375000000003,9
0.0170703125,0.010507812499999998,-0.010703125000000004,-0.016992187500000006,0.00011718749999999924,10
0.0137890625,-9.765625000000312e-5,-0.013847656250000005,-0.008437500000000004,0.00859375,11
0.006845703124999998,-0.006972656250000004,-0.011142578125000004,7.812499999999833e-5,0.01119140625,12
-6.347656250000298e-5,-0.009057617187500004,-0.005532226562500003,0.005634765625,0.0090185546875,13
-0.004560546875000003,-0.007294921875000003,5.1269531249998473e-5,0.0073266601562499995,0.004477539062499998,14
-0.005927734375000004,-0.0036218261718750024,0.003688964843749999,0.005902099609374999,-4.1503906250002585e-5,15
