x1,x2,x3,x4,x5,v1,v2,v3,v4,v5,t
0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.1,0
0.0,-0.1,-0.1,0.1,0.1,-0.02,-0.1,-0.060000000000000005,0.1,0.08,1
-0.02,-0.2,-0.16,0.2,0.18,-0.03,-0.1,-0.020000000000000004,0.1,0.05,2
-0.05,-0.30000000000000004,-0.18,0.30000000000000004,0.22999999999999998,-0.035,-0.09000000000000001,0.009999999999999998,0.1,0.015000000000000003,3
-0.085,-0.39000000000000007,-0.16999999999999998,0.4,0.245,-0.037500000000000006,-0.065,0.025,0.08750000000000001,-0.01,4
-0.12250000000000001,-0.45500000000000007,-0.145,0.48750000000000004,0.235,-0.03875000000000001,-0.0325,0.0325,0.0625,-0.023750000000000004,5
-0.16125,-0.48750000000000004,-0.11249999999999999,0.55,0.21125,-0.03937500000000001,0.00375,0.036250000000000004,0.030624999999999996,-0.03125000000000001,6
-0.200625,-0.48375000000000007,-0.07624999999999998,0.5806250000000001,0.18,-0.0396875,0.041875,0.0334375,-0.0003125000000000055,-0.03531250000000001,7
-0.24031249999999998,-0.4418750000000001,-0.04281249999999998,0.5803125,0.14468749999999997,-0.0396875,0.07859375,0.016562499999999997,-0.01781250000000001,-0.03765625,8
-0.27999999999999997,-0.36328125000000006,-0.026249999999999985,0.5625,0.10703124999999997,-0.0396875,0.10687500000000001,-0.0006250000000000058,-0.027734375000000006,-0.038828125000000005,9
-0.31968749999999996,-0.25640625000000006,-0.02687499999999999,0.534765625,0.06820312499999996,-0.0396875,0.1265625,-0.014179687500000007,-0.033281250000000005,-0.0394140625,10
-0.35937499999999994,-0.12984375000000006,-0.04105468749999999,0.501484375,0.028789062499999962,-0.0396875,0.13947265625,-0.023730468750000004,-0.03634765625,-0.03970703125,11
-0.39906249999999993,0.00962890624999993,-0.06478515625,0.46513671874999996,-0.010917968750000034,0.0003125000000000003,0.10760742187499998,-0.0300390625,-0.03802734375,-0.039853515625,12
-0.39874999999999994,0.11723632812499991,-0.09482421875000001,0.42710937499999996,-0.05077148437500004,0.0403125,0.07258789062499998,-0.034033203125,-0.0389404296875,-0.039926757812500005,13
-0.35843749999999996,0.18982421874999988,-0.12885742187500002,0.38816894531249996,-0.09069824218750004,0.08031250000000001,0.03557128906249998,-0.03648681640625,-0.03943359375,-0.03996337890625,14
-0.27812499999999996,0.22539550781249987,-0.16534423828125,0.34873535156249996,-0.13066162109375004,0.11809814453125,-0.00045776367187500694,-0.037960205078125,-0.039698486328125004,-0.039981689453125,15
-0.16002685546874995,0.22493774414062487,-0.203304443359375,0.30903686523437496,-0.17064331054687504,0.1378692626953125,-0.019208984375000005,-0.038829345703125004,-0.039840087890625,-0.0399908447265625,16
-0.022157592773437457,0.20572875976562485,-0.2421337890625,0.26919677734374997,-0.21063415527343754,0.10826477050781248,-0.029604492187500005,-0.03874938964843751,-0.03991546630859375,4.577636718749306e-6,17
0.08610717773437503,0.17612426757812485,-0.2808831787109375,0.22928131103515623,-0.2106295776367188,0.07346252441406248,-0.03480224609375,-0.038707122802734376,-0.039957733154296876,0.04000457763671875,18
0.15956970214843752,0.14132202148437484,-0.31959030151367185,0.18932357788085935,-0.17062500000000005,0.03606140136718748,-0.037401123046875,-0.03868598937988281,-0.03997886657714844,0.08000457763671875,19
0.19563110351562502,0.10392089843749984,-0.35827629089355467,0.1493447113037109,-0.0906204223632813,-0.0006698608398437583,-0.038700561523437496,-0.03867542266845703,1.0566711425779446e-5,0.0780352783203125,20
0.19496124267578124,0.06522033691406234,-0.3969517135620117,0.14935527801513668,-0.012585144042968802,-0.019685211181640627,-0.039350280761718745,-0.018670139312744135,0.02000528335571289,0.05770034790039062,21
0.17527603149414062,0.0258700561523436,-0.41562185287475584,0.16936056137084957,0.04511520385742182,-0.029517745971679686,-0.03967514038085937,0.01133250236511231,0.030002641677856445,0.027857742309570308,22
0.14575828552246092,-0.013805084228515771,-0.40428935050964354,0.199363203048706,0.07297294616699213,-0.03459644317626953,-0.03983757019042969,0.04633382320404053,0.028930191993713376,-0.000830001831054689,23
0.11116184234619139,-0.05364265441894546,-0.357955527305603,0.22829339504241938,0.07214294433593743,-0.03721700668334961,-0.03991878509521485,0.08079891920089723,0.014050095081329345,-0.01771322250366211,24
0.07394483566284178,-0.09356143951416031,-0.27715660810470577,0.24234349012374873,0.05442972183227532,-0.03856789588928223,-0.03995939254760743,0.1078239667415619,-0.0018315637111663823,-0.02746511459350586,25
0.03537693977355955,-0.13352083206176774,-0.16933264136314385,0.24051192641258234,0.026964607238769457,-0.03926364421844483,-0.03997969627380371,0.12690818488597871,-0.014648339152336123,-0.033016505241394045,26
-0.003886704444885279,-0.17350052833557145,-0.04242445647716514,0.22586358726024622,-0.006051898002624588,-0.03962167024612427,1.0151863098144948e-5,0.09958401530981065,-0.023832422196865086,-0.03614007472991944,27
-0.04350837469100955,-0.1734903764724733,0.05715955883264551,0.20203116506338115,-0.04219197273254403,-0.01980575919151306,0.02000507593154907,0.0676678042113781,-0.029986248463392262,-0.037880872488021855,28
-0.0633141338825226,-0.15348530054092424,0.1248273630440236,0.17204491659998888,-0.08007284522056587,9.965837001800482e-5,0.030002537965774536,0.03267467997968196,-0.03393356047570706,-0.02884331583976746,29
-0.0632144755125046,-0.1234827625751497,0.15750204302370557,0.13811135612428183,-0.10891616106033333,0.01505109816789627,0.03133860897272825,-0.0006294402480125499,-0.03138843815773726,-0.014371828734874727,30
