x1,x2,x3,x4,x5,v1,v2,v3,v4,v5,t
0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.1,0
-0.01,-0.1,-0.08,0.1,0.09000000000000001,-0.02,-0.1,-0.060000000000000005,0.1,0.08,1
-0.0345,-0.2,-0.12000000000000001,0.2,0.1545,-0.029,-0.1,-0.020000000000000004,0.1,0.049,2
-0.064525,-0.30000000000000004,-0.12000000000000001,0.30000000000000004,0.184525,-0.03105,-0.1,0.019999999999999997,0.1,0.01105,3
-0.095575,-0.391,-0.08900000000000001,0.4,0.175575,-0.03105,-0.082,0.041999999999999996,0.1,-0.02895,4
-0.126625,-0.45695,-0.04305,0.49154125000000004,0.13508375,-0.03105,-0.0499,0.0499,0.0830825,-0.052032499999999995,5
-0.15767499999999998,-0.48685,0.006850000000000002,0.5583698125000001,0.0793051875,-0.03105,-0.009899999999999999,0.0499,0.050574625,-0.059524625,6
-0.18872499999999998,-0.47675,0.05675,0.5889444375,0.0197805625,-0.03105,0.030100000000000002,0.0499,0.010574624999999997,-0.059524625,7
-0.21977499999999997,-0.42665,0.10665,0.5795190625,-0.039744062499999996,-0.03105,0.0701,0.0499,-0.029425375000000004,-0.059524625,8
-0.24463249999999997,-0.34274249999999995,0.15655,0.5300936875,-0.0992686875,-0.018665000000000005,0.09771500000000001,0.0499,-0.06942537500000001,-0.059524625,9
-0.24600587499999993,-0.2423191249999999,0.205598340625,0.441519971875,-0.1587933125,0.015918250000000002,0.10313175000000001,0.04819668125,-0.10772205625000002,-0.059524625,10
-0.21176689374999993,-0.1391873749999999,0.23894050640625,0.3286524310937499,-0.21663866874999999,0.052559712499999994,0.10313175000000001,0.01848765031249999,-0.1180130253125,-0.05616608749999999,11
-0.15175876468749994,-0.03605562499999988,0.23742815671874998,0.2106394057812499,-0.26025317281249993,0.06745654562499999,0.10313175000000001,-0.021512349687500012,-0.1180130253125,-0.031062920624999987,12
-0.08357841723437494,0.06356944541406263,0.19942248661718745,0.0926263804687499,-0.2720398952656249,0.06890414928125,0.096118390828125,-0.05449899051562501,-0.1180130253125,0.007489475718750013,13
-0.014674267953124945,0.14603421294414076,0.1385771193996093,-0.02538664484375011,-0.24455041954687487,0.06890414928125,0.06881114423203123,-0.06719174391953125,-0.1180130253125,0.047489475718750014,14
0.05422988132812505,0.19497627716626964,0.07125445548998038,-0.13375482220390636,-0.1867057917804686,0.06890414928125,0.029072984212226535,-0.06745358389972655,-0.09872332940781249,0.0681997798140625,15
