x1,x2,x3,v1,v2,v3,t
0.0,0.0,0.0,0.0,-0.1,0.1,0
-0.01,-0.08,0.09000000000000001,-0.02,-0.060000000000000005,0.08,1
-0.0345,-0.12000000000000001,0.1545,-0.029,-0.020000000000000004,0.049,2
-0.064525,-0.12000000000000001,0.184525,-0.03105,0.019999999999999997,0.01105,3
-0.086575,-0.08900000000000001,0.175575,-0.01305000000000001,0.041999999999999996,-0.02895,4
-0.08598375000000001,-0.051508750000000006,0.1374925,0.014232499999999992,0.0329825,-0.04721500000000001,5
-0.06534000000000001,-0.029125562500000007,0.09446556249999996,0.027054999999999996,0.011783875,-0.03883887500000001,6
-0.04029205937500001,-0.02381781875000001,0.06410987812499995,0.02304088125,-0.0011683875000000066,-0.021872493750000006,7
-0.022479783281250013,-0.02576584796875002,0.04824563124999994,0.012583670937499996,-0.0027276709375000097,-0.009856,8
-0.013888251046875019,-0.02657502721093753,0.040463278257812436,0.004599393531249992,0.0011093124531249918,-0.005708705984374998,9
-0.010795716593359402,-0.023818304093750034,0.034614020687109316,0.0015856753757812407,0.004404133781249994,-0.005989809157031249,10
-0.009156555991230504,-0.01909103980802738,0.028247595799257754,0.0016926458284765539,0.005050394790195308,-0.006743040618671876,11
-0.007121197113164105,-0.014622072089684607,0.021743269202848574,0.0023780719276562433,0.0038875406464902295,-0.0062656125741464876,12
-0.004740801754625389,-0.011454552683726898,0.01619535443835213,0.0023827187894211862,0.0024474981654251885,-0.0048302169548463895,13
-0.002677575667658278,-0.009443987942265652,0.01212156360992376,0.0017437333845130363,0.0015736313174973026,-0.0033173647020103537,14
-0.0013146884136295436,-0.008014828052035792,0.00932951646566515,0.000982041123544432,0.0012846884629624156,-0.0022667295865068625,15
